0	0.01	0
0.02	0.01	0
0.04	0.01	0
0.06	0.01	0
0.08	0.01	0
0.1	0.01	0
0.12	0.01	0
0.14	0.01	0
0.16	0.01	0
0.18	0.01	0
0.2	0.01	0
0.22	0.01	0
0.24	0.01	0
0.26	0.01	0
0.28	0.01	0
0.3	0.01	0
0.32	0.01	0
0.34	0.01	0
0.36	0.01	0
0.38	0.01	0
0.4	0.01	0
0.42	0.01	0
0.44	0.01	0
0.46	0.01	0
0.48	0.01	0
0.5	0.01	0
0.52	0.01	0
0.54	0.01	0
0.56	0.01	0
0.58	0.01	0
0.6	0.01	0
0.62	0.01	0
0.64	0.01	0
0.66	0.01	0
0.68	0.01	0
0.7	0.01	0
0.72	0.01	0
0.74	0.01	0
0.76	0.01	0
0.78	0.01	0
0.8	0.01	0
0.82	0.01	0
0.84	0.01	0
0.86	0.01	0
0.88	0.01	0
0.9	0.01	0
0.92	0.01	0
0.94	0.01	0
0.96	0.01	0
0.98	0.01	0
1	0.01	0
1.02	0.01	0
1.04	0.01	0
1.06	0.01	0
1.08	0.01	0
1.1	0.01	0
1.12	0.01	0
1.14	0.01	0
1.16	0.01	0
1.18	0.01	0
1.2	0.01	0
1.22	0.01	0
1.24	0.01	0
1.26	0.01	0
1.28	0.01	0
1.3	0.01	0
1.32	0.01	0
1.34	0.01	0
1.36	0.01	0
1.38	0.01	0
1.4	0.01	0
1.42	0.01	0
1.44	0.01	0
1.46	0.01	0
1.48	0.01	0
1.5	0.01	0
1.52	0.01	0
1.54	0.01	0
1.56	0.01	0
1.58	0.01	0
1.6	0.01	0
1.62	0.01	0
1.64	0.01	0
1.66	0.01	0
1.68	0.01	0
1.7	0.01	0
1.72	0.010000000000000002	31444533337385483e-34
1.74	0.010000000000000002	9341771812940338e-33
1.76	0.010000000000000005	11783722240009934e-33
1.78	0.010000000000000023	6025689852010462e-32
1.8	0.010000000000000052	14719616800160392e-32
1.82	0.010000000000000094	2499455590046317e-31
1.84	0.010000000000000151	35527240851900404e-32
1.86	0.010000000000006674	1815535181298486e-29
1.88	0.01000000000000543	1452027515726695e-29
1.9	0.010000000000011777	3236870578416883e-29
1.92	0.01000000000000923	25046555812465147e-30
1.94	0.010000000000009404	25386364340976115e-30
1.96	0.010000000000035586	7736912892092724e-29
1.98	0.010000000000258656	7222488073875003e-28
2	0.010000000001299062	26935877556905898e-28
2.02	0.01000000003146633	8705289778095909e-26
2.04	0.010000000052813336	14711568804297942e-26
2.06	0.010000000049303213	13708412355635634e-26
2.08	0.010000000055338153	15312656086772598e-26
2.1	0.010000000057875377	15934184037416082e-26
2.12	0.010000000056906263	15463462538660883e-26
2.14	0.010000000062604285	16773627541138952e-26
2.16	0.010000000062939303	16257097728187899e-26
2.18	0.010000000076876923	1710353209902704e-25
2.2	0.010000000086511007	17441219729367653e-26
2.22	0.01000000008957249	17021994596490939e-26
2.24	0.010000000093549302	17931675227025998e-26
2.26	0.010000000097061094	18400201157815147e-26
2.28	0.010000000095853402	17894607383834467e-26
2.3	0.010000000100121123	18558876555286044e-26
2.32	0.010000000113062455	2204338014630337e-25
2.34	0.010000000126644587	25672104840962e-23
2.36	0.010000000156371433	27954216787746737e-26
2.38	0.010000000203132138	34265605482692837e-26
2.4	0.0100000002185106	3373700530975851e-25
2.42	0.01000000034481104	364279075368195e-24
2.44	0.010000000445456823	5186076619926504e-25
2.46	0.01000000047469015	5520053559370701e-25
2.48	0.010000000513885266	627869735746405e-24
2.5	0.010000000760933766	7974265433139999e-25
2.52	0.010000003988831566	6110923859311048e-24
2.54	0.01000001881893076	3150619674619638e-23
2.56	0.010000052876576154	9592081543486974e-23
2.58	0.010000112553755039	2386604648210777e-22
2.6	0.010000230481349879	5528041243411644e-22
2.62	0.010000478352544362	1121941649362789e-21
2.64	0.010000853982519192	19662231647514653e-22
2.66	0.010001421976071989	34370860167619834e-22
2.68	0.010002305496293475	5850985557129241e-21
2.7	0.010003744548261053	9575271839097304e-21
2.72	0.010005732503624836	15088273611553018e-21
2.74	0.010008563403204017	22902150582546343e-21
2.76	0.010012449163600808	3361748244496047e-20
2.78	0.010017679374044984	478954743210148e-19
2.8	0.010024346123355735	6654144674842651e-20
2.82	0.01003284830868384	9035245898471153e-20
2.84	0.010043868135889911	0.0001201059627257508
2.86	0.010056997596027493	0.0001566985458128328
2.88	0.010073273303467103	0.00020227495732148398
2.9	0.01009351273860161	0.0002589892852037336
2.92	0.010118398296229212	0.0003287021042595413
2.94	0.010148637910937945	0.00041345435921941013
2.96	0.0101850484191067	0.0005154323108378228
2.98	0.01022838095820722	0.000637038566670821
3	0.010279538607650206	0.0007808039144742651
3.02	0.010339498471254503	0.0009494200656364508
3.04	0.010409770424974232	0.001147298178155251
3.06	0.010491470793306385	0.0013761023324125941
3.08	0.010585272600694952	0.0016382069788358226
3.1	0.010694077763797591	0.0019426389840875955
3.12	0.010818442779692227	0.0022918145470379645
3.14	0.010960592844330378	0.0026897674989412373
3.16	0.011121329175934716	0.0031409133137675262
3.18	0.011302271548276403	0.003649235550903481
3.2	0.01150345947777906	0.0042146365510182205
3.22	0.011725510114931956	0.00483605585560797
3.24	0.011961250156756411	0.005500956382289351
3.26	0.012204242121987344	0.00618029791495496
3.28	0.012437387614524573	0.006830700270849886
3.3	0.012638764609774603	0.007388538777994013
3.32	0.012791055032321145	0.0078044942109349825
3.34	0.012893650016752432	0.008071935227897948
3.36	0.012955026391601093	0.008222673683835937
3.38	0.013023272524349597	0.008382967641493627
3.4	0.013108340703417284	0.008580048074497559
